Kepler ID	KOI	T_dur (h)	Depth	SNR	t0 (days)	e_t0	Peiod (days)	e_period	d/R_star	e_(d/R_star)	R_p/R_Star	e_(R_p/R_Star)	b	e_b	Radius_plan	a (AU)	Teq (K)	chi	Teff	log(g)	s_Rad	Kepmag	f_Teff
6850504	70.03	7.2802	829	103.4	97.7263	1.60E-03	77.6119919	3.10E-04	70.463852	9.10659	0.0271	3.40E-04	0.5536	0.248	2.78	0.344	397	1.2	5443	4.45	0.94	12.498	3
6850504	70.04	2.7502	81	23.4	68.93378	3.60E-03	6.0984945	6.30E-05	12.926935	1.67065	0.00891	2.80E-04	0.6617	0.245	0.91	0.063	927	1.89	5443	4.45	0.94	12.498	3
6850504	70.05	3.6029	99	18.4	68.20094	5.70E-03	19.5778923	3.00E-04	28.131386	3.63564	0.00998	3.90E-04	0.7492	0.233	1.02	0.137	629	1.08	5443	4.45	0.94	12.498	3
11904151	72.01	1.8123	191	139.2	64.57439	2.60E-04	0.8374903	1.50E-06	3.574732	0.00743	0.01265	7.00E-05	0.172	0.064	1.38	0.017	1903	1.46	5627	4.39	1	10.961	3
11904151	72.02	6.8594	497	122.4	71.67813	1.40E-03	45.2940369	2.00E-04	51.123154	0.10623	0.02014	1.30E-04	0.1173	0.057	2.19	0.241	505	1	5627	4.39	1	10.961	3
7199397	75.01	18.3308	1651	308.2	89.96994	1.20E-03	105.8853073	3.30E-04	34.588463	0.76786	0.03931	8.00E-05	0.6827	0.052	8.83	0.47	547	1.14	5925	3.9	2.06	10.775	3
10187017	82.01	3.7022	949	172	67.75366	5.10E-04	16.1456738	2.20E-05	24.118555	4.44909	0.03049	5.50E-04	0.7338	0.242	2.45	0.116	545	1.4	4908	4.61	0.74	11.492	3
10187017	82.02	3.1936	271	79.9	67.07943	1.30E-03	10.3117523	3.80E-05	17.886917	3.29955	0.01608	3.30E-04	0.7125	0.25	1.29	0.086	634	1.03	4908	4.61	0.74	11.492	3
10187017	82.03	3.8681	143	28.9	78.02472	3.60E-03	27.4537811	2.70E-04	34.359642	6.33824	0.01288	3.70E-04	0.7903	0.226	1.03	0.165	457	1.98	4908	4.61	0.74	11.492	3
10187017	82.04	3.1679	62	20.6	72.99056	3.50E-03	7.0713053	6.90E-05	13.909566	2.56586	0.00867	2.60E-04	0.595	0.289	0.7	0.067	718	1.27	4908	4.61	0.74	11.492	3
10187017	82.05	2.3754	39	14	68.84573	5.70E-03	5.2870293	8.50E-05	11.458339	2.11369	0.00647	3.60E-04	0.7492	0.27	0.52	0.055	792	1.25	4908	4.61	0.74	11.492	3
2571238	84.01	3.5406	698	199.7	68.992	5.40E-04	9.2870092	1.30E-05	12.585527	1.63839	0.02709	3.00E-04	0.8139	0.173	2.53	0.084	781	1.17	5541	4.53	0.86	11.898	3
5866724	85.01	4.1078	324	154.6	65.03952	6.80E-04	5.8599334	1.10E-05	7.26888	0.21438	0.01804	8.00E-05	0.7732	0.088	2.35	0.068	1142	1.29	6172	4.36	1.2	11.018	2
5866724	85.02	3.23	100	72.6	66.49626	1.10E-03	2.1549189	8.30E-06	3.731009	0.11004	0.00971	9.00E-05	0.714	0.119	1.27	0.035	1592	1.88	6172	4.36	1.2	11.018	2
5866724	85.03	4.363	117	53.9	70.99533	2.20E-03	8.1311464	5.10E-05	9.042883	0.2667	0.01081	1.40E-04	0.7887	0.111	1.41	0.084	1028	2.74	6172	4.36	1.2	11.018	2
10593626	87.01	7.3991	492	59	66.6984	2.30E-03	289.8621826	1.80E-03	185.684265	92.680458	0.02264	1.60E-03	0.8129	0.476	2.1	0.805	250	1.13	5510	4.5	0.85	11.664	3
8056665	89.01	10.0555	352	55.6	83.5651	3.00E-03	84.6889496	6.90E-04	65.449089	9.05362	0.01721	2.00E-04	0.0067	0.434	4.87	0.472	775	1.1	7490	3.9	2.6	11.642	1
8056665	89.02	6.9868	490	45.2	222.86874	2.60E-03	207.6034851	2.20E-03	118.989555	16.4599	0.02286	3.50E-04	0.8783	0.148	6.47	0.857	575	1.2	7490	3.9	2.6	11.642	1
